NA;Wavelength_nm;Distance (m);Lval_um;Zone calcul (um);RoC_mm;FinalPower;dB/m
0.075;1065;0.01;55;38.89087297;27.5;0.998644;0.632852418
0.0779;900;0.01;55;38.89087297;27.5;0.999969504;0.01326448
0.0779;931.8181818;0.01;55;38.89087297;27.5;0.999945347;0.023800594
0.0779;963.6363636;0.01;55;38.89087297;27.5;0.999900603;0.043383537
0.0779;995.4545455;0.01;55;38.89087297;27.5;0.999823178;0.077479863
0.0779;1027.272727;0.01;55;38.89087297;27.5;0.999694891;0.134570693
0.0779;1059.090909;0.01;55;38.89087297;27.5;0.999490237;0.227229418
0.0779;1060;0.01;45;31.81980515;27.5;0.996968797;1.568421862
0.0779;1060;0.01;50;35.35533906;27.5;0.998830663;0.540066887
0.0779;1060;0.01;55;38.89087297;27.5;0.999482713;0.230673934
0.0779;1060;1;55;38.89087297;27.5;0.994448738;0.02417599
0.0779;1060;0.01;60;42.42640687;27.5;0.999748047;0.110823855
0.0779;1060;0.01;65;45.96194078;27.5;0.999867495;0.05793085
0.0779;1060;0.01;70;49.49747468;27.5;0.999925946;0.032280918
0.0779;1090.909091;0.01;55;38.89087297;27.5;0.999169296;0.376640073
0.0779;1122.727273;0.01;55;38.89087297;27.5;0.998682115;0.61374466
0.0779;1154.545455;0.01;55;38.89087297;27.5;0.997959108;0.991356022
0.0779;1186.363636;0.01;55;38.89087297;27.5;0.996911398;1.60434097
0.0779;1218.181818;0.01;55;38.89087297;27.5;0.995425969;2.655226918
0.0779;1250;0.01;55;38.89087297;27.5;0.993364764;4.730453912
0.0779;1110;0.01;55;38.89087297;40;0.999607425;0.173929972
0.0779;1158.333333;0.01;55;38.89087297;40;0.999208406;0.358155408
0.0779;1206.666667;0.01;55;38.89087297;40;0.998487001;0.712457467
0.0779;1255;0.01;55;38.89087297;40;0.997246888;1.398484506
0.0779;1303.333333;0.01;55;38.89087297;40;0.995213024;2.829102756
0.0779;1351.666667;0.01;55;38.89087297;40;0.992017656;6.951528768
0.0779;1400;0.01;55;38.89087297;40;0.987199849;
0.08;1065;0.01;55;38.89087297;27.5;0.9997;0.132282657
0.081;1110;0.01;55;38.89087297;40;0.999823686;0.077255276
0.081;1158.333333;0.01;55;38.89087297;40;0.99963334;0.162231114
0.081;1206.666667;0.01;55;38.89087297;40;0.999278532;0.325207301
0.081;1255;0.01;55;38.89087297;40;0.998648028;0.630829129
0.081;1303.333333;0.01;55;38.89087297;40;0.997580669;1.202924658
0.081;1351.666667;0.01;55;38.89087297;40;0.995848495;2.32955877
0.081;1400;0.01;55;38.89087297;40;0.993150773;5.015828848
;;;;;;;
0.0779;1060;0.01;45;31.81980515;27.5;0.996968797;1.568421862
0.0779;1060;0.34;45;31.81980515;27.5;0.90191284;1.47819997
0.0779;1060;0.67;45;31.81980515;27.5;0.815920493;1.395095875
0.0779;1060;1;45;31.81980515;27.5;0.738127111;1.31868843
0.0779;1060;0.01;55;38.89087297;27.5;0.999482713;0.230673934
0.0779;1060;0.34;55;38.89087297;27.5;0.982629715;0.227745525
0.0779;1060;0.67;55;38.89087297;27.5;0.96603533;0.225935625
0.0779;1060;1;55;38.89087297;27.5;0.949740876;0.223948699
0.0779;1060;0.01;65;45.96194078;27.5;0.999867495;0.05793085
0.0779;1060;0.34;65;45.96194078;27.5;0.995540206;0.057343502
0.0779;1060;0.67;65;45.96194078;27.5;0.991212914;0.057334756
0.0779;1060;1;65;45.96194078;27.5;0.986885623;0.057331778
;;;;;;;
0.075;1060;0.01;65;45.96194078;27.5;0.999583812;0.18461698
0.075;1060;0.1;65;45.96194078;27.5;0.995860317;0.183611371
0.08;1060;0.01;65;45.96194078;27.5;0.999939572;0.02632322
0.08;1060;0.1;65;45.96194078;27.5;0.999403129;0.025999438
0.085;1060;0.01;65;45.96194078;27.5;0.999987508;0.005428632
0.085;1060;0.1;65;45.96194078;27.5;0.999880221;0.005205053
