Wavelength_nm;FinalRelativePower;dB par m
900;0.999969504;0.013264521
931.8181818;0.999945347;0.023800424
963.6363636;0.999900603;0.043383433
995.4545455;0.999823178;0.077479932
1027.272727;0.999694891;0.134570497
1059.090909;0.999490237;0.227229392
1090.909091;0.999169296;0.376640055
1122.727273;0.998682115;0.613744591
1154.545455;0.997959108;0.991355801
1186.363636;0.996911398;1.604340932
1218.181818;0.995425969;2.655226836
1250;0.993364764;4.730454488
;;
NA=0.08;R=27.5mm;
1065;0.9997;0.132282657
;;
NA=0.075;R=27.5mm;
1065;0.998644;0.632852418
