NA,Wavelength_nm,Distance (m),Lval_um,Zone calcul,RoC_mm,FinalPower,db/m,PowerAfterInsertion
0.0779,850,0.01,55,38.8908729652601,20,0.999965513912461,0.024243303316257,0.999993424473831
0.0779,850,0.1,55,38.8908729652601,20,0.999485266784189,0.0232365860918567,0.999993424344289
0.0779,900,0.01,55,38.8908729652601,20,0.999904075798065,0.0693302408842342,0.999983890716377
0.0779,900,0.1,55,38.8908729652601,20,0.99855993763608,0.0651437381163223,0.999983890382243
0.0779,950,0.01,55,38.8908729652601,20,0.999751527172442,0.181825211354967,0.999960831075676
0.0779,950,0.1,55,38.8908729652601,20,0.996235107271637,0.170647024672592,0.999960831295517
0.0779,1000,0.01,55,38.8908729652601,20,0.99941054440086,0.439553992691946,0.9999164293314
0.0779,1000,0.1,55,38.8908729652601,20,0.99109086646969,0.405287404782781,0.999916429329588
0.0779,1050,0.01,55,38.8908729652601,20,0.998718611632086,0.969742797373011,0.999834261342812
0.0779,1050,0.1,55,38.8908729652601,20,0.980663983332271,0.885030494778781,0.999834262237641
0.0779,1100,0.01,55,38.8908729652601,20,0.997444305360915,1.9399885767667,0.999674581347307
0.0779,1100,0.1,55,38.8908729652601,20,0.961377141150706,1.78577451921553,0.999674581508287
